SESSION_ID,MEDIA_ID,DICOM_ID,CNT,Time (in secs),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,SACCADE_MAG,SACCADE_DIR,VID_FRAME,X_ORIGINAL,Y_ORIGINAL
19,0,0c1c6a70-a96f5b27-5d042944-6b49b3b3-fd6a8293,6,0.09546,3.62443E+12,0.5615,0.38176,0,0.09546,1,1,0.51833,0.49654,1,0.16771,0.69384,15.80892,0.99488,1,0.4424,0.6912,15.62354,0.99488,1,0,0,27,3.39215,1,3.22843,1,0,0,0,1624,1166
19,0,0c1c6a70-a96f5b27-5d042944-6b49b3b3-fd6a8293,22,0.35474,3.62443E+12,0.49144,0.50453,0.11304,0.2417,2,1,0.44881,0.58316,1,0.16329,0.69637,15.93705,1.01574,1,0.43837,0.69265,15.17425,1.02276,1,0,0,27,3.09702,1,3.07894,1,188.87796,224.58737,0,1222,1541
19,0,0c1c6a70-a96f5b27-5d042944-6b49b3b3-fd6a8293,39,0.62866,3.62443E+12,0.4947,0.48269,0.37036,0.2583,3,1,0.51606,0.48038,1,0.16677,0.69482,15.58043,0.99488,1,0.44183,0.69212,16.4238,0.99488,1,0,0,27,3.30774,1,3.16963,1,24.40352,75.13821,0,1241,1475
19,0,0c1c6a70-a96f5b27-5d042944-6b49b3b3-fd6a8293,69,1.11475,3.62444E+12,0.56589,0.4579,0.64502,0.46973,4,1,0.52138,0.46391,1,0.16929,0.69476,15.90951,1.02298,1,0.4443,0.69291,15.64988,1.02298,1,0,0,27,3.3,1,3.10436,1,139.2822,11.08255,0,1649,1399
19,0,0c1c6a70-a96f5b27-5d042944-6b49b3b3-fd6a8293,92,1.48633,3.62444E+12,0.52828,0.44275,1.13013,0.3562,5,1,0.53735,0.41258,1,0.17936,0.69053,16.75297,1.0434,1,0.45466,0.69314,16.21709,1.03638,1,0,0,27,3.33501,1,3.31255,1,74.04166,167.2332,0,1434,1353
19,0,0c1c6a70-a96f5b27-5d042944-6b49b3b3-fd6a8293,116,1.87451,3.62444E+12,0.55696,0.44433,1.5022,0.37231,6,1,0.58582,0.47677,1,0.18586,0.69232,17.14978,0.99488,1,0.46165,0.69743,16.56541,1.0019,1,0,0,27,3.50001,1,3.15972,1,55.09199,358.22507,0,1598,1357
19,0,0c1c6a70-a96f5b27-5d042944-6b49b3b3-fd6a8293,136,2.198,3.62445E+12,0.54184,0.46017,1.89136,0.30664,7,1,0.50492,0.48556,1,0.18283,0.69393,17.57261,0.99488,1,0.45885,0.69879,16.05908,0.99488,1,0,0,27,3.18389,1,3.31019,1,33.6959,210.51036,0,1511,1406
19,0,0c1c6a70-a96f5b27-5d042944-6b49b3b3-fd6a8293,153,2.47266,3.62445E+12,0.51636,0.42301,2.21387,0.25879,8,1,0.54199,0.35464,1,0.18532,0.69064,17.59586,1.02957,1,0.46073,0.69568,16.97756,1.02254,1,0,0,27,3.31475,1,3.42252,1,63.27697,140.63632,0,1365,1292
19,0,0c1c6a70-a96f5b27-5d042944-6b49b3b3-fd6a8293,203,3.28369,3.62446E+12,0.5205,0.26166,2.53857,0.74512,9,1,0.53833,0.25323,1,0.18597,0.68842,18.8961,1.05021,1,0.46153,0.69418,17.34153,1.04318,1,0,0,27,3.62954,1,3.55242,1,174.43919,87.38827,0,1389,799
19,0,0c1c6a70-a96f5b27-5d042944-6b49b3b3-fd6a8293,231,3.73438,3.62446E+12,0.55089,0.28196,3.29736,0.43701,10,1,0.61946,0.52225,1,0.18048,0.69661,17.98806,1.00849,1,0.45427,0.69725,16.80558,1.00849,1,0,0,27,3.37285,1,3.37785,1,62.33181,339.4068,0,1563,861
